wpm,accuracy,mistakes
57.5,3.9,47
38.5,99.6,1
32.4,13.7,278
32.1,31.8,281
39.1,55.6,63
36.2,93.6,19
30.9,9.6,248
40.0,65.9,112
35.2,20.1,477
40.4,99.6,1
35.5,52.9,193
42.3,47.9,130
35.6,74.5,105
42.7,13.6,216
36.4,5.8,306
35.7,91.8,21
39.6,73.5,107
39.1,98.5,4
41.0,96.9,7
39.3,99.1,2
37.3,10.1,529
37.7,31.8,279
36.6,99.6,1
40.6,58.0,173
38.4,99.2,2
45.7,50.6,127
38.6,76.7,91
41.0,98.8,3
40.3,25.2,308
37.1,92.9,19
43.2,99.2,2
40.6,75.1,64
40.7,90.9,29
47.7,32.0,280
39.5,8.9,540
43.0,42.0,239
44.8,8.2,236
38.4,87.9,34
44.0,25.5,306
32.4,42.7,187
